LONGITUDE;LATITUDE;NO_MUNICIPIO;NO_REGIAO;SG_UF;CO_MUNICIPIO;Total -educacao infantil;PrÃ©-Escola;Total - findamental;Ensino MÃ©dio;EducaÃ§Ã£o Profissional;EducaÃ§Ã£o de Jovens e Adultos (EJA);EducaÃ§Ã£o Especial;terrai_nome;etnia_nome;modalidade_ti;faixa_fronteira;ha-terra-indigena
-5.197.026;-29.503.472;estrela;Sul;RS;4307807.0;89.2;89.4;94.9;98.3;96.4;95.7;57.1;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.458.371;-21.742.285;estrela dalva;Sudeste;MG;3124609.0;14.3;25.0;96.0;90.5;0.0;91.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-36.758.333;-9.387.405;estrela de alagoas;Nordeste;AL;2702553.0;74.5;68.2;85.1;100.0;0.0;39.2;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-51.664.176;-22.490.599;estrela do norte;Sudeste;SP;3515301.0;91.7;100.0;94.1;87.5;0.0;80.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-51.664.176;-22.490.599;estrela do norte;Centro-Oeste;GO;5207501.0;100.0;100.0;90.9;88.2;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-49.073.401;-13.867.027;estrela do norte;Sudeste;SP;3515301.0;91.7;100.0;94.1;87.5;0.0;80.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-49.073.401;-13.867.027;estrela do norte;Centro-Oeste;GO;5207501.0;100.0;100.0;90.9;88.2;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-47.688.975;-18.741.293;estrela do sul;Sudeste;MG;3124807.0;70.0;66.7;92.5;97.0;0.0;80.0;80.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-50.405.467;-20.286.082;estrela d'oeste;Sudeste;SP;3515202.0;94.7;91.3;100.0;100.0;0.0;100.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-53.160.294;-29.179.661;estrela velha;Sul;RS;4307815.0;95.2;91.7;97.3;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-39.014.249;-10.505.818;euclides da cunha;Nordeste;BA;2910701.0;60.4;68.6;75.8;91.0;97.6;57.5;0.0;Massacara;Kaimbé;Tradicionalmente ocupada;Não;sim
-52.590.898;-22.554.997;euclides da cunha paulista;Sudeste;SP;3515350.0;100.0;100.0;99.2;98.9;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-46.322.162;-2.285.819;extrema;Sudeste;MG;3125101.0;96.6;97.3;98.0;96.7;100.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-35.314.025;-570.271;extremoz;Nordeste;RN;2403608.0;81.6;86.7;79.2;90.7;0.0;97.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-39.722.728;-7.516.307;exu;Nordeste;PE;2605301.0;40.6;46.5;80.9;98.9;0.0;95.8;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-35.784.609;-7.363.062;fagundes;Nordeste;PB;2506103.0;81.3;85.0;79.2;85.4;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-51.691.449;-28.882.134;fagundes varela;Sul;RS;4307864.0;93.8;90.9;93.3;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-50.368.704;-15.442.869;faina;Centro-Oeste;GO;5207535.0;85.7;85.7;82.8;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-45.832.312;-21.405.762;fama;Sudeste;MG;3125200.0;54.5;60.0;100.0;83.3;0.0;85.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.013.846;-20.801.745;faria lemos;Sudeste;MG;3125309.0;76.5;72.7;89.7;96.2;100.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-39.570.835;-692.711;farias brito;Nordeste;CE;2304301.0;85.0;88.9;96.5;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-56.745.753;-2.172.975;faro;Norte;PA;1503002.0;59.3;51.6;72.9;100.0;0.0;71.4;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.626.215;-24.099.095;farol;Sul;PR;4107553.0;93.8;90.0;96.7;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-5.134.835;-29.223.679;farroupilha;Sul;RS;4307906.0;80.5;93.4;97.6;96.8;100.0;95.8;88.9;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-49.512.053;-23.388.961;fartura;Sudeste;SP;3515400.0;59.5;66.7;95.9;97.1;0.0;0.0;77.8;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-51.320.106;-24.003.927;faxinal;Sul;PR;4107603.0;61.3;65.4;88.3;97.5;0.0;100.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-53.439.065;-2.957.433;faxinal do soturno;Sul;RS;4308003.0;96.8;100.0;100.0;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.271.415;-26.859.787;faxinal dos guedes;Sul;SC;4205308.0;85.2;79.3;85.2;88.2;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.670.591;-27.425.416;faxinalzinho;Sul;RS;4308052.0;66.7;88.9;93.3;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-50.787.364;-16.177.514;fazenda nova;Centro-Oeste;GO;5207600.0;33.3;37.5;79.1;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-49.323.293;-256.414;fazenda rio grande;Sul;PR;4107652.0;76.8;79.4;90.0;97.7;100.0;93.5;95.9;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-51.821.183;-29.588.575;fazenda vilanova;Sul;RS;4308078.0;100.0;100.0;90.5;87.5;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-44.283.464;-14.210.565;feira da mata;Nordeste;BA;2910776.0;87.5;81.8;83.6;100.0;0.0;87.5;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-38.960.033;-12.229.284;feira de santana;Nordeste;BA;2910800.0;75.6;76.0;83.5;95.8;92.6;98.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-36.677.686;-9.900.437;feira grande;Nordeste;AL;2702603.0;58.5;62.5;73.8;100.0;0.0;44.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
