terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira;NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;Total -educacao infantil;Creche;Pré-Escola;Total - findamental;Anos Iniciais fundamental;Anos Finais -fundamental;Ensino Médio;Educação Profissional;Educação de Jovens e Adultos (EJA);Educação Especial
Bacurizinho;Guajá ;Grajaú;MA;82432,4931;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;MA;2104800.0;Grajaú;Rural;35,6;35,3;36,8;30,8;30,2;33,6;42,6;--;33,3;--
Balaio;Tukano,Tariana,Desána;São Gabriel da Cachoeira;AM;257281,4601;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1303809.0;São Gabriel da Cachoeira;Total;67,6;81,5;59,2;53,8;53,6;57;77,8;100;79,3;60
Balaio;Tukano,Tariana,Desána;São Gabriel da Cachoeira;AM;257281,4601;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1303809.0;São Gabriel da Cachoeira;Urbana;86,9;82,5;92,2;97,8;98,4;97,7;97,8;100;100;60
Balaio;Tukano,Tariana,Desána;São Gabriel da Cachoeira;AM;257281,4601;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1303809.0;São Gabriel da Cachoeira;Rural;40;75;34,8;39,9;34,8;45,9;67,2;--;64,1;--
Barata Livramento;Makuxí,Wapixana;Alto Alegre;RR;12883,2701;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400050.0;Alto Alegre;Total;64,3;71,4;59,5;59,2;65;56,8;79,8;--;69,2;--
Barata Livramento;Makuxí,Wapixana;Alto Alegre;RR;12883,2701;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400050.0;Alto Alegre;Urbana;87;91,7;76,9;84,1;74,2;93,8;90,6;--;92,3;--
Barata Livramento;Makuxí,Wapixana;Alto Alegre;RR;12883,2701;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400050.0;Alto Alegre;Rural;48,5;44,4;50;51,5;60,9;48,2;75,3;--;63,5;--
Barata Livramento;Makuxí,Wapixana;Alto Alegre;RR;12883,2701;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;SP;3501103.0;Alto Alegre;Total;66,7;33,3;100;100;100;100;92;--;--;100
Barata Livramento;Makuxí,Wapixana;Alto Alegre;RR;12883,2701;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;SP;3501103.0;Alto Alegre;Urbana;66,7;33,3;100;100;100;100;92;--;--;100
Barata Livramento;Makuxí,Wapixana;Alto Alegre;RR;12883,2701;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sul;RS;4300554.0;Alto Alegre;Total;100;100;100;96;90,9;100;100;--;--;--
Barata Livramento;Makuxí,Wapixana;Alto Alegre;RR;12883,2701;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sul;RS;4300554.0;Alto Alegre;Urbana;100;100;100;100;100;100;100;--;--;--
Barata Livramento;Makuxí,Wapixana;Alto Alegre;RR;12883,2701;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sul;RS;4300554.0;Alto Alegre;Rural;--;--;--;90;80;100;--;--;--;--
Barra Velha;Pataxó;Porto Seguro;BA;8627,459;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;BA;2925303.0;Porto Seguro;Total;78,9;78;78,4;83,1;77;88,4;98,1;100;89,7;--
