terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira;NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;Total -educacao infantil;Creche;Pré-Escola;Total - findamental;Anos Iniciais fundamental;Anos Finais -fundamental;Ensino Médio;Educação Profissional;Educação de Jovens e Adultos (EJA);Educação Especial
Lago do Beruri;Tikúna;Beruri;AM;4080,369;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300631.0;Beruri;Total;66,7;66,7;66,7;57,7;51,2;64,5;97,8;100;64,5;--
Lago do Beruri;Tikúna;Beruri;AM;4080,369;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300631.0;Beruri;Urbana;93,3;100;91,7;88,6;86,4;91,8;100;100;100;--
Lago do Beruri;Tikúna;Beruri;AM;4080,369;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300631.0;Beruri;Rural;47,6;33,3;50;42,3;28,8;51,6;96,1;--;0;--
Lago do Correio;Kokama,Tikúna;Santo Antônio do Içá;AM;13209,7815;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1303700.0;Santo Antônio do Içá;Total;29,3;34,7;22,3;45,8;44,3;47,7;96,1;100;43,6;--
Lago do Correio;Kokama,Tikúna;Santo Antônio do Içá;AM;13209,7815;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1303700.0;Santo Antônio do Içá;Urbana;54,4;54,1;55,2;91;87;98,2;100;100;100;--
Lago do Correio;Kokama,Tikúna;Santo Antônio do Içá;AM;13209,7815;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1303700.0;Santo Antônio do Içá;Rural;6,9;5;7,7;22,9;20,9;28,5;93,4;--;8,5;--
Lago do Limão;Múra;Borba;AM;8210;Declarada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300805.0;Borba;Total;56;67,9;52,5;61;64,2;59,2;93,1;100;55,7;--
Lago do Limão;Múra;Borba;AM;8210;Declarada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300805.0;Borba;Urbana;67,6;70,5;67,6;94,7;92,1;98;100;100;100;--
Lago do Limão;Múra;Borba;AM;8210;Declarada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300805.0;Borba;Rural;36,1;55,6;32,7;45,1;43,5;47,3;91,4;--;32,5;--
Lago do Marinheiro;Múra;Careiro;AM;3586,2907;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301100.0;Careiro;Total;46,2;45,1;46,8;69,7;73,4;68,5;99,3;100;68,9;--
Lago do Marinheiro;Múra;Careiro;AM;3586,2907;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301100.0;Careiro;Urbana;48,5;41,9;60;80;78,2;80,3;100;100;81,6;--
Lago do Marinheiro;Múra;Careiro;AM;3586,2907;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301100.0;Careiro;Rural;44,4;48,7;40,7;65,8;71,4;64,7;99;--;61,8;--
Lagoa  Encantada;Kanindé;Aquiraz;CE;1731;Declarada;Tradicionalmente ocupada;;Não;2022;Nordeste;CE;2301000.0;Aquiraz;Total;88,5;88,6;90,6;93,5;89,5;97,2;95;--;89,3;--
Lagoa  Encantada;Kanindé;Aquiraz;CE;1731;Declarada;Tradicionalmente ocupada;;Não;2022;Nordeste;CE;2301000.0;Aquiraz;Urbana;86,4;86,3;88,5;92,4;84,6;97;97,2;--;94,4;--
Lagoa  Encantada;Kanindé;Aquiraz;CE;1731;Declarada;Tradicionalmente ocupada;;Não;2022;Nordeste;CE;2301000.0;Aquiraz;Rural;91,2;92,3;93,2;94,9;93,6;97,7;86,5;--;80;--
Lagoa dos Brincos;Negarotê;Comodoro;MT;1845,058;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MT;5103304.0;Comodoro;Total;92,5;94,7;91,2;90,3;93,9;88,7;96,1;--;100;66,7
Lagoa dos Brincos;Negarotê;Comodoro;MT;1845,058;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MT;5103304.0;Comodoro;Urbana;97,1;94,7;100;95,8;95,7;96,2;92,5;--;100;66,7
Lagoa dos Brincos;Negarotê;Comodoro;MT;1845,058;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MT;5103304.0;Comodoro;Rural;84,2;--;84,2;83,8;89,5;82,5;100;--;--;--
Lalima;Terena,Kinikinau;Miranda;MS;3000,2101;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MS;5005608.0;Miranda;Total;77,4;100;69,8;89,7;82,8;96,1;95,8;100;100;60
Lalima;Terena,Kinikinau;Miranda;MS;3000,2101;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MS;5005608.0;Miranda;Urbana;93;100;88,9;98,6;97;100;99,1;--;100;60
Lalima;Terena,Kinikinau;Miranda;MS;3000,2101;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MS;5005608.0;Miranda;Rural;44,4;--;44,4;73,5;62;87,3;89,7;100;100;--
Lauro Sodré;Tikúna;Benjamin Constant;AM;9478,6216;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1300607.0;Benjamin Constant;Total;65;65,7;64,3;79,1;76,1;82;91,4;81,3;97,8;--
Lauro Sodré;Tikúna;Benjamin Constant;AM;9478,6216;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1300607.0;Benjamin Constant;Urbana;94,4;94,1;92,3;94,8;94,6;95;100;81,3;97,7;--
Lauro Sodré;Tikúna;Benjamin Constant;AM;9478,6216;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1300607.0;Benjamin Constant;Rural;39,7;38,9;40;67,2;59,8;73,8;86;--;100;--
Ligeiro;Kaingang;Charrua;RS;4565,7973;Regularizada;Tradicionalmente ocupada;;Não;2022;Sul;RS;4305371.0;Charrua;Total;76,9;80;72,7;63,4;61,9;60,7;47,4;--;25;--
Ligeiro;Kaingang;Charrua;RS;4565,7973;Regularizada;Tradicionalmente ocupada;;Não;2022;Sul;RS;4305371.0;Charrua;Urbana;100;100;100;85,7;87,5;87,5;85,7;--;--;--
Ligeiro;Kaingang;Charrua;RS;4565,7973;Regularizada;Tradicionalmente ocupada;;Não;2022;Sul;RS;4305371.0;Charrua;Rural;57,1;66,7;57,1;51,9;46,2;50;25;--;25;--
Limão Verde;Terena;Aquidauana;MS;5377,2754;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MS;5001102.0;Aquidauana;Total;92,1;94,1;91,3;94,8;93,4;94,6;96,2;100;98,1;96,8
Limão Verde;Terena;Aquidauana;MS;5377,2754;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MS;5001102.0;Aquidauana;Urbana;96,7;94,1;98,7;96,1;96,1;95,2;97,8;100;98,1;96,8
Limão Verde;Terena;Aquidauana;MS;5377,2754;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MS;5001102.0;Aquidauana;Rural;71,4;--;71,4;91,1;86,9;92,9;90,8;100;--;--
Macarrão;Tikúna;Jutaí;AM;44267,9081;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302306.0;Jutaí;Total;23,6;19;25,9;42,2;36,2;47,8;97,7;--;62;--
Macarrão;Tikúna;Jutaí;AM;44267,9081;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302306.0;Jutaí;Urbana;26,7;21,4;29,3;69,3;56;89,2;100;--;93,5;--
Macarrão;Tikúna;Jutaí;AM;44267,9081;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302306.0;Jutaí;Rural;17,1;14,3;18,5;20,2;15,1;24,8;96,9;--;10,5;--
Malacacheta;Wapixana;Cantá;RR;28631,8258;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400175.0;Cantá;Total;94,4;100;93,9;88,9;84,5;90,5;96,7;--;95,2;--
Malacacheta;Wapixana;Cantá;RR;28631,8258;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400175.0;Cantá;Urbana;90;100;87,5;81,3;--;81,3;81,8;--;83,3;--
Malacacheta;Wapixana;Cantá;RR;28631,8258;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400175.0;Cantá;Rural;96,2;100;96;89,3;84,5;91,4;98,2;--;98;--
Mangueira;Makuxí;Alto Alegre;RR;4063,741;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400050.0;Alto Alegre;Total;64,3;71,4;59,5;59,2;65;56,8;79,8;--;69,2;--
Mangueira;Makuxí;Alto Alegre;RR;4063,741;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400050.0;Alto Alegre;Urbana;87;91,7;76,9;84,1;74,2;93,8;90,6;--;92,3;--
Mangueira;Makuxí;Alto Alegre;RR;4063,741;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400050.0;Alto Alegre;Rural;48,5;44,4;50;51,5;60,9;48,2;75,3;--;63,5;--
Mangueira;Makuxí;Alto Alegre;RR;4063,741;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;SP;3501103.0;Alto Alegre;Total;66,7;33,3;100;100;100;100;92;--;--;100
Mangueira;Makuxí;Alto Alegre;RR;4063,741;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;SP;3501103.0;Alto Alegre;Urbana;66,7;33,3;100;100;100;100;92;--;--;100
Mangueira;Makuxí;Alto Alegre;RR;4063,741;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sul;RS;4300554.0;Alto Alegre;Total;100;100;100;96;90,9;100;100;--;--;--
Mangueira;Makuxí;Alto Alegre;RR;4063,741;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sul;RS;4300554.0;Alto Alegre;Urbana;100;100;100;100;100;100;100;--;--;--
Mangueira;Makuxí;Alto Alegre;RR;4063,741;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sul;RS;4300554.0;Alto Alegre;Rural;--;--;--;90;80;100;--;--;--;--
Manoa/Pium;Makuxí,Wapixana;Bonfim;RR;43336,7308;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400159.0;Bonfim;Total;84,6;66,7;85,7;67,6;69,5;64,6;69;100;61,7;--
Manoa/Pium;Makuxí,Wapixana;Bonfim;RR;43336,7308;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400159.0;Bonfim;Urbana;86,7;66,7;90,9;96,2;96;96,7;88;100;77,8;--
Manoa/Pium;Makuxí,Wapixana;Bonfim;RR;43336,7308;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400159.0;Bonfim;Rural;83,3;--;83,3;59,9;61,3;57;63,6;--;58,8;--
Manoa/Pium;Makuxí,Wapixana;Bonfim;RR;43336,7308;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;MG;3108107.0;Bonfim;Total;95;100;93,8;92,2;92,6;92,9;90,9;--;--;--
Manoa/Pium;Makuxí,Wapixana;Bonfim;RR;43336,7308;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;MG;3108107.0;Bonfim;Urbana;100;100;100;91,3;91,7;91,7;90,9;--;--;--
Manoa/Pium;Makuxí,Wapixana;Bonfim;RR;43336,7308;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;MG;3108107.0;Bonfim;Rural;66,7;--;66,7;100;100;100;--;--;--;--
Manoki;Irántxe;Brasnorte;MT;250539,8293;Declarada;Tradicionalmente ocupada;Reestudo;Não;2022;Centro-Oeste;MT;5101902.0;Brasnorte;Total;84;81;86,7;73,9;73;74;86,1;--;68;100
Manoki;Irántxe;Brasnorte;MT;250539,8293;Declarada;Tradicionalmente ocupada;Reestudo;Não;2022;Centro-Oeste;MT;5101902.0;Brasnorte;Urbana;89,5;83,3;95;95,1;95;93,2;90,9;--;100;100
Manoki;Irántxe;Brasnorte;MT;250539,8293;Declarada;Tradicionalmente ocupada;Reestudo;Não;2022;Centro-Oeste;MT;5101902.0;Brasnorte;Rural;66,7;66,7;70;56,6;55,1;57,7;78,6;--;27,3;--
Maracaxi;Tembé;Aurora do Pará;PA;720;Declarada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1500958.0;Aurora do Pará;Total;91,7;100;87,1;93,1;89,3;94,3;100;--;100;--
Maracaxi;Tembé;Aurora do Pará;PA;720;Declarada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1500958.0;Aurora do Pará;Urbana;84,6;100;76,5;91,6;88,2;90,7;100;--;100;--
Maracaxi;Tembé;Aurora do Pará;PA;720;Declarada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1500958.0;Aurora do Pará;Rural;100;100;100;93,9;89,7;96,1;100;--;100;--
Maraitá;Tikúna;Amaturá;AM;53038,0644;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1300060.0;Amaturá;Total;73,8;64,3;78,6;78,1;76,9;78,4;95,1;100;84,5;--
Maraitá;Tikúna;Amaturá;AM;53038,0644;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1300060.0;Amaturá;Urbana;87,5;80;100;100;100;100;100;--;100;--
Maraitá;Tikúna;Amaturá;AM;53038,0644;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1300060.0;Amaturá;Rural;65,4;25;72,7;63,7;61,8;67,6;93,3;100;67,9;--
Marajai;Matsés;Alvarães;AM;1196,3486;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300029.0;Alvarães;Total;56,6;50;60;69,1;63,1;74,4;100;100;82,4;--
Marajai;Matsés;Alvarães;AM;1196,3486;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300029.0;Alvarães;Urbana;79,5;73,3;83,3;94,3;90;98,3;100;100;100;--
Marajai;Matsés;Alvarães;AM;1196,3486;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300029.0;Alvarães;Rural;36,4;23,1;41,9;51,9;41;59,8;100;--;54,3;--
Marechal Rondon;Xavante;Paranatinga;MT;98500;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5106307.0;Paranatinga;Total;95,2;96,3;94,6;84,8;85,3;84,7;88,5;--;80;25
Marechal Rondon;Xavante;Paranatinga;MT;98500;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5106307.0;Paranatinga;Urbana;96,5;96,3;96,9;98,6;97,4;98,7;97,8;--;100;25
Marechal Rondon;Xavante;Paranatinga;MT;98500;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5106307.0;Paranatinga;Rural;80;--;80;59,8;56,3;64,2;63,6;--;61,1;--
Maró;Arapiun;Santarém;PA;42373;Delimitada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1506807.0;Santarém;Total;74,7;73,4;75,7;90,2;86,5;91,7;99,7;96,6;98,1;--
Maró;Arapiun;Santarém;PA;42373;Delimitada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1506807.0;Santarém;Urbana;75,7;72,8;78,6;92,7;87,3;96,7;99,8;97;99,2;--
Maró;Arapiun;Santarém;PA;42373;Delimitada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1506807.0;Santarém;Rural;72,9;78,9;72,6;87,5;84,8;87,9;99,6;83,3;89,6;--
Massacara;Kaimbé;Euclides da Cunha;BA;8020,0802;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;BA;2910701.0;Euclides da Cunha;Total;60,4;54,2;68,6;75,8;67,5;83,3;91;97,6;57,5;--
Massacara;Kaimbé;Euclides da Cunha;BA;8020,0802;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;BA;2910701.0;Euclides da Cunha;Urbana;61,1;55,6;68,2;78;65,4;88,9;93,3;97,6;71,9;--
Massacara;Kaimbé;Euclides da Cunha;BA;8020,0802;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;BA;2910701.0;Euclides da Cunha;Rural;59;50;69,2;72,2;71,1;74,7;60;--;39,7;--
Mata Medonha;Pataxó;Santa Cruz Cabrália;BA;549,6226;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;BA;2927705.0;Santa Cruz Cabrália;Total;75,6;75;76,5;80,3;77,6;80;82,4;--;84,7;--
Mata Medonha;Pataxó;Santa Cruz Cabrália;BA;549,6226;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;BA;2927705.0;Santa Cruz Cabrália;Urbana;72,6;70,8;72,7;78,7;73,9;81,5;82,4;--;84,6;--
Mata Medonha;Pataxó;Santa Cruz Cabrália;BA;549,6226;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;BA;2927705.0;Santa Cruz Cabrália;Rural;82,1;87,5;83,3;83,2;84,7;77,6;--;--;84,8;--
Mata da Cafurna;Xucuru - Kariri;Palmeira dos Índios;AL;117,6007;Regularizada;Dominial Indígena;;Não;2022;Nordeste;AL;2706307.0;Palmeira dos Índios;Total;68,5;66,7;69,7;91;84,9;94,8;98,2;96,8;76,4;--
Mata da Cafurna;Xucuru - Kariri;Palmeira dos Índios;AL;117,6007;Regularizada;Dominial Indígena;;Não;2022;Nordeste;AL;2706307.0;Palmeira dos Índios;Urbana;68;66,2;69,7;91,2;83,2;96,2;99,1;96,8;83,5;--
Mata da Cafurna;Xucuru - Kariri;Palmeira dos Índios;AL;117,6007;Regularizada;Dominial Indígena;;Não;2022;Nordeste;AL;2706307.0;Palmeira dos Índios;Rural;69,4;67,4;69,8;90,5;88,1;92,2;94,8;--;70,9;--
Mato Castelhano;Kaingang;Mato Castelhano;RS;3567;Delimitada;Tradicionalmente ocupada;;Não;2022;Sul;RS;4312138.0;Mato Castelhano;Total;72,2;77,8;66,7;95,6;100;94,1;100;--;--;--
Mato Castelhano;Kaingang;Mato Castelhano;RS;3567;Delimitada;Tradicionalmente ocupada;;Não;2022;Sul;RS;4312138.0;Mato Castelhano;Urbana;75;77,8;66,7;100;100;100;100;--;--;--
Mato Castelhano;Kaingang;Mato Castelhano;RS;3567;Delimitada;Tradicionalmente ocupada;;Não;2022;Sul;RS;4312138.0;Mato Castelhano;Rural;66,7;--;66,7;90;100;87,5;--;--;--;--
Mbiguaçu;Guarani Nhandeva,Guarani Mbya;Biguaçu;SC;59,1982;Regularizada;Tradicionalmente ocupada;;Não;2022;Sul;SC;4202305.0;Biguaçu;Total;90,6;91,9;89,8;91,3;91,5;91;92,8;--;81,7;--
Mbiguaçu;Guarani Nhandeva,Guarani Mbya;Biguaçu;SC;59,1982;Regularizada;Tradicionalmente ocupada;;Não;2022;Sul;SC;4202305.0;Biguaçu;Urbana;89,7;91,4;88,4;92,9;92,8;93,4;95,7;--;98,2;--
Mbiguaçu;Guarani Nhandeva,Guarani Mbya;Biguaçu;SC;59,1982;Regularizada;Tradicionalmente ocupada;;Não;2022;Sul;SC;4202305.0;Biguaçu;Rural;100;100;100;79,4;80;76,7;41,7;--;25;--
Menkü;Mynky;Brasnorte;MT;47094,8647;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5101902.0;Brasnorte;Total;84;81;86,7;73,9;73;74;86,1;--;68;100
Menkü;Mynky;Brasnorte;MT;47094,8647;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5101902.0;Brasnorte;Urbana;89,5;83,3;95;95,1;95;93,2;90,9;--;100;100
Menkü;Mynky;Brasnorte;MT;47094,8647;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5101902.0;Brasnorte;Rural;66,7;66,7;70;56,6;55,1;57,7;78,6;--;27,3;--
Meria;Miránha;Alvarães;AM;585,4932;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300029.0;Alvarães;Total;56,6;50;60;69,1;63,1;74,4;100;100;82,4;--
Meria;Miránha;Alvarães;AM;585,4932;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300029.0;Alvarães;Urbana;79,5;73,3;83,3;94,3;90;98,3;100;100;100;--
Meria;Miránha;Alvarães;AM;585,4932;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300029.0;Alvarães;Rural;36,4;23,1;41,9;51,9;41;59,8;100;--;54,3;--
Miguel/Josefa;Múra;Autazes;AM;1628,8091;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300300.0;Autazes;Total;90;100;88,6;90,3;89,4;92,1;98,6;90;100;--
Miguel/Josefa;Múra;Autazes;AM;1628,8091;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300300.0;Autazes;Urbana;94,3;100;92;98,3;96,9;100;100;90;100;--
Miguel/Josefa;Múra;Autazes;AM;1628,8091;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1300300.0;Autazes;Rural;86,7;--;86,7;85,5;84,2;88,2;97,5;--;100;--
Miratu;Miránha;Uarini;AM;13198,788;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1304260.0;Uarini;Total;15,4;33,3;13;49,1;43,2;52,6;96,7;100;43,3;--
Miratu;Miránha;Uarini;AM;13198,788;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1304260.0;Uarini;Urbana;21,6;33,3;19,4;68;62,7;72,7;100;100;73;--
Miratu;Miránha;Uarini;AM;13198,788;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1304260.0;Uarini;Rural;0;--;0;32,2;9,3;40,4;95,8;--;6,7;--
Morro Alto;Guarani Mbya;São Francisco do Sul;SC;893;Declarada;Tradicionalmente ocupada;;Não;2022;Sul;SC;4216206.0;São Francisco do Sul;Total;87,7;87,8;82,8;87,1;84,9;86,8;89,6;92,3;69;--
Morro Alto;Guarani Mbya;São Francisco do Sul;SC;893;Declarada;Tradicionalmente ocupada;;Não;2022;Sul;SC;4216206.0;São Francisco do Sul;Urbana;87,8;87,7;81,6;87,9;86,9;86,6;89,9;92,3;70,7;--
Morro Alto;Guarani Mbya;São Francisco do Sul;SC;893;Declarada;Tradicionalmente ocupada;;Não;2022;Sul;SC;4216206.0;São Francisco do Sul;Rural;87,4;88,2;86,5;82,1;75;88,2;66,7;--;0;--
Morro Branco;Tenetehara;Grajaú;MA;48,9804;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;MA;2104800.0;Grajaú;Total;50,6;47,4;52;56,2;54,1;59,7;70,9;95,8;50,5;--
Morro Branco;Tenetehara;Grajaú;MA;48,9804;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;MA;2104800.0;Grajaú;Urbana;57;50,8;59,5;78,8;71,1;88;91,3;95,8;88,5;--
Morro Branco;Tenetehara;Grajaú;MA;48,9804;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;MA;2104800.0;Grajaú;Rural;35,6;35,3;36,8;30,8;30,2;33,6;42,6;--;33,3;--
Morro da Palha;Guarani Mbya;Biguaçu;SC;240,3312;Encaminhada RI;Reserva Indígena;;Não;2022;Sul;SC;4202305.0;Biguaçu;Total;90,6;91,9;89,8;91,3;91,5;91;92,8;--;81,7;--
Morro da Palha;Guarani Mbya;Biguaçu;SC;240,3312;Encaminhada RI;Reserva Indígena;;Não;2022;Sul;SC;4202305.0;Biguaçu;Urbana;89,7;91,4;88,4;92,9;92,8;93,4;95,7;--;98,2;--
Morro da Palha;Guarani Mbya;Biguaçu;SC;240,3312;Encaminhada RI;Reserva Indígena;;Não;2022;Sul;SC;4202305.0;Biguaçu;Rural;100;100;100;79,4;80;76,7;41,7;--;25;--
Morro dos Cavalos;Guaraní;Palhoça;SC;1983,4901;Declarada;Tradicionalmente ocupada;;Não;2022;Sul;SC;4211900.0;Palhoça;Total;87,8;90,6;83;91,7;89,2;94;95,7;86;91,9;100
Morro dos Cavalos;Guaraní;Palhoça;SC;1983,4901;Declarada;Tradicionalmente ocupada;;Não;2022;Sul;SC;4211900.0;Palhoça;Urbana;87,6;90,4;82,7;92,2;89,2;95,1;96,4;86;95;100
Morro dos Cavalos;Guaraní;Palhoça;SC;1983,4901;Declarada;Tradicionalmente ocupada;;Não;2022;Sul;SC;4211900.0;Palhoça;Rural;100;100;100;71,8;89,3;50;28,6;--;20;--
Moskow;Wapixana;Bonfim;RR;14212,9983;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400159.0;Bonfim;Total;84,6;66,7;85,7;67,6;69,5;64,6;69;100;61,7;--
Moskow;Wapixana;Bonfim;RR;14212,9983;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400159.0;Bonfim;Urbana;86,7;66,7;90,9;96,2;96;96,7;88;100;77,8;--
Moskow;Wapixana;Bonfim;RR;14212,9983;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400159.0;Bonfim;Rural;83,3;--;83,3;59,9;61,3;57;63,6;--;58,8;--
Moskow;Wapixana;Bonfim;RR;14212,9983;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;MG;3108107.0;Bonfim;Total;95;100;93,8;92,2;92,6;92,9;90,9;--;--;--
Moskow;Wapixana;Bonfim;RR;14212,9983;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;MG;3108107.0;Bonfim;Urbana;100;100;100;91,3;91,7;91,7;90,9;--;--;--
Moskow;Wapixana;Bonfim;RR;14212,9983;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;MG;3108107.0;Bonfim;Rural;66,7;--;66,7;100;100;100;--;--;--;--
Mundo Verde/Cachoeirinha;Maxakali;Teófilo Otoni;MG;606,1916;Regularizada;Reserva Indígena;;Não;2022;Sudeste;MG;3168606.0;Teófilo Otoni;Total;82,3;70,1;91,3;96,8;96,3;97,3;95,5;92,5;98,4;100
Mundo Verde/Cachoeirinha;Maxakali;Teófilo Otoni;MG;606,1916;Regularizada;Reserva Indígena;;Não;2022;Sudeste;MG;3168606.0;Teófilo Otoni;Urbana;81,9;69,3;92,7;97,6;96,4;98,7;95,9;92,5;98,3;100
Mundo Verde/Cachoeirinha;Maxakali;Teófilo Otoni;MG;606,1916;Regularizada;Reserva Indígena;;Não;2022;Sudeste;MG;3168606.0;Teófilo Otoni;Rural;85;100;83,3;91,7;94,9;90,3;91,1;--;100;--
Munduruku;Mundurukú;Jacareacanga;PA;2381795,777;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1503754.0;Jacareacanga;Total;28,5;64,3;24,1;36;36,9;31,5;100;--;54,4;--
Munduruku;Mundurukú;Jacareacanga;PA;2381795,777;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1503754.0;Jacareacanga;Urbana;78,6;64,3;92,9;98,5;100;96,4;100;--;100;--
Munduruku;Mundurukú;Jacareacanga;PA;2381795,777;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1503754.0;Jacareacanga;Rural;14,7;--;14,7;23,1;6,1;25,3;--;--;36,7;--
Munduruku-Taquara;Mundurukú;Belterra;PA;25323;Declarada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1501451.0;Belterra;Total;87,1;100;85,2;93,6;100;92,1;97,1;--;96,9;--
Munduruku-Taquara;Mundurukú;Belterra;PA;25323;Declarada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1501451.0;Belterra;Urbana;88;100;85,7;100;100;100;97,1;--;94,1;--
Munduruku-Taquara;Mundurukú;Belterra;PA;25323;Declarada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1501451.0;Belterra;Rural;83,3;--;83,3;90,2;100;88,7;--;--;100;--
