terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira
Cajuhiri Atravessado;Kambéba,Miránha,Tikúna;Coari;AM;12455,7188;Regularizada;Tradicionalmente ocupada;;Não
Camadeni;Jamamadí;Pauini;AM;150930,5549;Regularizada;Tradicionalmente ocupada;;Não
Camicua;Apurinã;Boca do Acre;AM;58519,5999;Regularizada;Tradicionalmente ocupada;;Não
Campinas/Katukina;Katukina;Cruzeiro do Sul;AC;32623,6443;Regularizada;Tradicionalmente ocupada;;Sim
Campo Bonito;Guarani Mbya;Torres;RS;76,3869;Regularizada;Reserva Indígena;;Não
Cana Brava/Guajajara;Tenetehara;Jenipapo dos Vieiras,Barra do Corda,Barão de Grajaú;MA;137329,5429;Regularizada;Tradicionalmente ocupada;;Não
Canauanim;Makuxí,Wapixana;Cantá;RR;11182,4372;Regularizada;Tradicionalmente ocupada;;Sim
Canelinha;Guarani Mbya;Canelinha;SC;207,7552;Regularizada;Reserva Indígena;;Não
Cantagalo;Guarani Mbya;Porto Alegre,Viamão;RS;283,6761;Regularizada;Tradicionalmente ocupada;;Não
Capivari;Guarani Mbya;Palmares do Sul;RS;43,3215;Regularizada;Tradicionalmente ocupada;;Não
Capoto/Jarina;Kayapó;São José do Xingu,Santa Cruz do Xingu,Peixoto de Azevedo;MT;634915,2256;Regularizada;Tradicionalmente ocupada;;Não
Caramuru/Paraguassu;Pataxo Há-Há-Há;Pau Brasil,Itaju do Colônia,Camacan;BA;54105;Regularizada;Tradicionalmente ocupada;;Não
Carreteiro;Kaingang;Água Santa;RS;602,9751;Regularizada;Tradicionalmente ocupada;;Não
Carretão I;Tapuia;Rubiataba,Nova América;GO;1666,4512;Regularizada;Tradicionalmente ocupada;;Não
Carretão II;Tapuia;Nova América;GO;77,5043;Regularizada;Tradicionalmente ocupada;;Não
Caru;Tenetehara;Bom Jardim;MA;172667,3777;Regularizada;Tradicionalmente ocupada;;Não
Catipari/Mamoria;Apurinã;Pauini;AM;115044,3509;Regularizada;Tradicionalmente ocupada;;Não
Caxixó;Kaxixó;Pompéu,Martinho Campos;MG;5411;Delimitada;Tradicionalmente ocupada;;Não
Cerco Grande;Guaraní;Guaraqueçaba;PR;1390;Delimitada;Tradicionalmente ocupada;;Não
Cerrito;Guarani Nhandeva;Eldorado;MS;1950,9806;Regularizada;Tradicionalmente ocupada;;Sim
Chão Preto;Xavante;Campinápolis;MT;12741,8456;Regularizada;Tradicionalmente ocupada;;Não
Coata-Laranjal;Mundurukú;Borba;AM;1153210,112;Regularizada;Tradicionalmente ocupada;;Não
Cobra Grande;Arapiun;Santarém;PA;8906;Delimitada;Tradicionalmente ocupada;;Não
Comboios;Guaraní,Tupiniquim;Aracruz;ES;3872,1411;Regularizada;Tradicionalmente ocupada;Reestudo;Não
Comexatibá;Pataxó;Prado;BA;28077;Delimitada;Tradicionalmente ocupada;;Não
Coroa Vermelha;Pataxó;Santa Cruz Cabrália,Porto Seguro;BA;1493,9941;Regularizada;Tradicionalmente ocupada;;Não
Cuia;Múra;Autazes;AM;1322,3875;Regularizada;Tradicionalmente ocupada;;Não
Cuiu-Cuiu;Miránha;Maraã;AM;36450,9765;Regularizada;Tradicionalmente ocupada;;Não
Cunhã-Sapucaia;Múra;Borba,Autazes;AM;471450,5393;Regularizada;Tradicionalmente ocupada;;Não
Cué Cué/ Marabitanas;Baré;São Gabriel da Cachoeira;AM;808645;Declarada;Tradicionalmente ocupada;;Sim
Córrego João Pereira;Tremembé;Itarema,Acaraú;CE;3162,3901;Regularizada;Tradicionalmente ocupada;;Não
Deni;Dení;Tapauá,Lábrea,Itamarati,Pauini;AM;1531303,499;Regularizada;Tradicionalmente ocupada;;Não
Diahui;Diahói;Humaitá;AM;47354,603;Regularizada;Tradicionalmente ocupada;;Não
Djaiko-Aty;Guarani Nhandeva;Miracatu;SP;1216;Delimitada;Tradicionalmente ocupada;;Não
Dourados;Guarani Nhandeva,Terena;Dourados;MS;3474,5957;Regularizada;Tradicionalmente ocupada;;Sim
Dourados-Amambaipeguá I;Guaraní;Naviraí,Amambai,Dourados;MS;55600;Delimitada;Tradicionalmente ocupada;;Sim
Enawenê-Nawê;Enawenê-Nawê;Comodoro,Sapezal,Juína;MT;742088,6783;Regularizada;Tradicionalmente ocupada;;Sim
Entre Serras;Pankararú;Petrolândia,Tacaratu,Jatobá;PE;7550,0875;Regularizada;Tradicionalmente ocupada;;Não
Erikpatsá;Rikbaktsa;Brasnorte;MT;79934,801;Regularizada;Tradicionalmente ocupada;;Não
Escondido;Rikbaktsa;Cotriguaçu;MT;168938,468;Regularizada;Tradicionalmente ocupada;;Não
Espírito Santo;Kokama;Jutaí;AM;33849,0871;Regularizada;Tradicionalmente ocupada;;Não
Estação Parecis;Paresí;Diamantino;MT;2170;Declarada;Tradicionalmente ocupada;;Não
Estivadinho;Paresí;Tangará da Serra;MT;2031,9414;Regularizada;Tradicionalmente ocupada;;Não
Estrada do Mar;Guarani Mbya;Osório;RS;45;Regularizada;Reserva Indígena;;Não
Estrela da Paz;Tikúna;Jutaí;AM;12876,4893;Regularizada;Tradicionalmente ocupada;;Não
