LONGITUDE;LATITUDE;NO_MUNICIPIO;NO_REGIAO;SG_UF;CO_MUNICIPIO;Total -educacao infantil;PrÃ©-Escola;Total - findamental;Ensino MÃ©dio;EducaÃ§Ã£o Profissional;EducaÃ§Ã£o de Jovens e Adultos (EJA);EducaÃ§Ã£o Especial;terrai_nome;etnia_nome;modalidade_ti;faixa_fronteira;ha-terra-indigena
-67.54059;-9.600858;porto acre;Norte;AC;1200807.0;82.8;76.5;87.4;93.5;0.0;85.1;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-61.658955;-3.745386;anori;Norte;AM;1300102.0;84.9;83.8;91.1;100.0;93.8;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-70.187989;-4.366157;atalaia do norte;Norte;AM;1300201.0;53.5;45.3;59.9;89.0;100.0;83.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-59.133567;-3.578664;autazes;Norte;AM;1300300.0;90.0;88.6;90.3;98.6;90.0;100.0;0.0;Cuia;Múra;Tradicionalmente ocupada;Não;sim
-62.92567;-0.972801;barcelos;Norte;AM;1300409.0;65.5;66.7;60.8;100.0;100.0;63.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-57.06775;-2.79815;barreirinha;Norte;AM;1300508.0;53.0;50.0;71.6;99.6;100.0;51.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-70.027348;-4.374989;benjamin constant;Norte;AM;1300607.0;65.0;64.3;79.1;91.4;81.3;97.8;0.0;Bom Intento;Tikúna;Tradicionalmente ocupada;Sim;sim
-61.371571;-3.894513;beruri;Norte;AM;1300631.0;66.7;66.7;57.7;97.8;100.0;64.5;0.0;Lago do Beruri;Tikúna;Tradicionalmente ocupada;Não;sim
-57.587707;-2.971727;boa vista do ramos;Norte;AM;1300680.0;21.1;25.9;57.4;98.9;100.0;48.8;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-67.399578;-8.751243;boca do acre;Norte;AM;1300706.0;87.7;89.6;70.3;99.0;100.0;96.6;0.0;Camicua;Apurinã;Tradicionalmente ocupada;Não;sim
-59.594559;-4.39062;borba;Norte;AM;1300805.0;56.0;52.5;61.0;93.1;100.0;55.7;0.0;Coata-Laranjal;Mundurukú;Tradicionalmente ocupada;Não;sim
-61.211334;-3.330093;caapiranga;Norte;AM;1300839.0;38.2;42.9;66.5;100.0;94.1;53.1;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-64.394231;-6.529106;canutama;Norte;AM;1300904.0;57.1;62.5;56.8;100.0;100.0;58.8;0.0;Juma;Juma;Tradicionalmente ocupada;Não;sim
-66.896635;-4.881666;carauari;Norte;AM;1301001.0;96.2;96.4;93.4;100.0;100.0;89.6;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-60.36381;-3.822447;careiro;Norte;AM;1301100.0;46.2;46.8;69.7;99.3;100.0;68.9;0.0;Lago do Marinheiro;Múra;Tradicionalmente ocupada;Não;sim
-63.142184;-4.084219;coari;Norte;AM;1301209.0;92.9;94.1;96.6;99.7;93.8;100.0;0.0;Cajuhiri Atravessado;Kambéba,Miránha,Tikúna;Tradicionalmente ocupada;Não;sim
-70.030413;-7.439818;envira;Norte;AM;1301506.0;82.5;84.4;62.6;100.0;85.7;67.6;0.0;Cacau do Tarauaca;Kulina Páno;Tradicionalmente ocupada;Não;sim
-66.096503;-2.512271;fonte boa;Norte;AM;1301605.0;16.1;19.1;54.0;100.0;90.9;70.5;0.0;Acapuri de Cima;Kokama;Tradicionalmente ocupada;Não;sim
-71.694418;-7.05098;ipixuna;Norte;AM;1301803.0;77.4;73.1;84.0;98.9;100.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-60.193388;-3.281054;iranduba;Norte;AM;1301852.0;95.0;95.9;96.3;100.0;100.0;98.1;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-58.440175;-3.140379;itacoatiara;Norte;AM;1301902.0;90.0;90.4;89.4;99.2;100.0;83.2;87.5;Paraná do Arauató;Múra;Tradicionalmente ocupada;Não;sim
-68.247917;-6.437799;itamarati;Norte;AM;1301951.0;20.6;21.7;34.1;95.6;100.0;80.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-58.034546;-2.741843;itapiranga;Norte;AM;1302009.0;94.7;95.0;93.5;100.0;100.0;94.1;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-58.034546;-2.741843;itapiranga;Sul;SC;4208401.0;98.6;97.4;93.0;93.1;90.5;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-60.620589;-3.298278;manacapuru;Norte;AM;1302504.0;58.6;63.6;77.1;99.8;95.5;97.9;88.2;Fortaleza do Patauá;Apurinã;Tradicionalmente ocupada;Não;sim
-60.458881;-3.42908;manaquiri;Norte;AM;1302553.0;76.0;75.0;76.3;100.0;100.0;66.2;100.0;Fortaleza do Castanho;Múra;Tradicionalmente ocupada;Não;sim
-60.023335;-3.134691;manaus;Norte;AM;1302603.0;91.7;91.9;96.7;99.0;94.2;99.3;94.9;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-59.093074;-3.887593;nova olinda do norte;Norte;AM;1303106.0;72.1;67.4;70.6;100.0;100.0;69.8;47.4;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-56.736292;-2.627053;parintins;Norte;AM;1303403.0;96.0;96.4;97.5;100.0;95.8;100.0;92.6;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-67.002097;-7.714044;pauini;Norte;AM;1303502.0;84.6;86.7;56.6;100.0;100.0;96.7;0.0;Camadeni;Jamamadí;Tradicionalmente ocupada;Não;sim
-60.025647;-2.058429;presidente figueiredo;Norte;AM;1303536.0;91.6;90.3;94.6;100.0;100.0;97.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-59.704738;-2.693302;rio preto da eva;Norte;AM;1303569.0;87.8;88.7;90.9;95.5;100.0;97.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-65.020023;-0.416695;santa isabel do rio negro;Norte;AM;1303601.0;35.9;34.5;43.4;90.7;100.0;48.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-58.214801;-2.836427;silves;Norte;AM;1304005.0;31.0;30.8;69.7;100.0;100.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-69.946244;-4.231884;tabatinga;Norte;AM;1304062.0;72.1;74.2;88.9;93.2;100.0;95.7;100.0;Sapotal;Kokama;Tradicionalmente ocupada;Sim;sim
-69.946244;-4.231884;tabatinga;Sudeste;SP;3552700.0;96.4;95.0;96.5;98.0;0.0;85.7;83.3;Sapotal;Kokama;Tradicionalmente ocupada;Sim;sim
-67.776482;-2.861091;tonantins;Norte;AM;1304237.0;28.1;28.9;56.2;100.0;100.0;53.8;0.0;Barro Alto;Kokama;Tradicionalmente ocupada;Não;sim
-65.155346;-2.983609;uarini;Norte;AM;1304260.0;15.4;13.0;49.1;96.7;100.0;43.3;0.0;Jaquiri;Kambéba;Tradicionalmente ocupada;Não;sim
-58.159641;-3.134633;urucurituba;Norte;AM;1304401.0;71.3;73.3;89.9;100.0;100.0;91.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
